campus,place_id,name,site,category,borough,street,city,postal_code,state,latitude,longitude,verified
Brigham Young University,ChIJqZ70q7OQTYcRbjE7c0zpFBY,Monticello Apartments,http://www.monticelloprovo.com/,Apartment complex,Joaquin,745 N 400 E,Provo,84606,Utah,40.2437461,-111.6521108,True
Brigham Young University,ChIJpbSzGKyQTYcRh9jrNYBP-fg,FCS Rentals,http://www.fcsrentals.com/,Property management company,North Park,495 N University Ave #100b,Provo,84601,Utah,40.2402168,-111.6589761,True
Brigham Young University,ChIJhYOUCKGQTYcRa5n-QlJDvTw,Cinnamon Tree Apartments,https://www.cinnamontreeapts.com/,Apartment complex,Carterville,1285 N Freedom Blvd,Provo,84604,Utah,40.25156,-111.6628299,True
Brigham Young University,ChIJJ7U3STWXTYcRyHucX4bqf4U,Centennial Apartments,https://www.centennialapartments.com/,Student housing center,Foot Hills,380 N 1020 E St,Provo,84606,Utah,40.2390124,-111.6405842,True
Brigham Young University,ChIJESNsirKQTYcR32jNSrwIrus,Union Square Apartments,https://www.ascentatunionsquare.com/,Apartment complex,Joaquin,424 N 300 E,Provo,84606,Utah,40.2395639,-111.6524714,True
Brigham Young University,ChIJ_2eTsgmaTYcRAtW4KFHvsM4,Westwood Apartments,https://westwoodprovo.wixsite.com/westwoodapartments,Furnished apartment building,North Park,519 W 940 N,Provo,84604,Utah,40.24622859999999,-111.6677729,True
Brigham Young University,ChIJA6RrmsqQTYcRgDmXDJPjbms,Sparks II Apartments,https://www.sparksapts.com/,Apartment complex,Foot Hills,999 E 450 N,Provo,84606,Utah,40.2404446,-111.6416408,True
Penn State University Park,ChIJV2hrraCozokRtlPCp8iIpzs,Park Hill Apartments,https://www.liveparkhill.com/?utm_source=GoogleMyBusiness,Apartment complex,,478 E Beaver Ave,State College,16801,Pennsylvania,40.7978986,-77.8536482,True
Penn State University Park,ChIJgTu-OpqozokROgf58b0KflQ,"College West, LLC",http://collegewestllc.com/,Apartment rental agency,,422 Clay Ln,State College,16801,Pennsylvania,40.791495,-77.8663282,False
Penn State University Park,ChIJvxXNi82nzokRcvtOHt8pkHE,Tremont Student Living,https://tremontstudentliving.com/?y_source=1_MTUzMjM1NTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Apartment rental agency,,201 Vairo Blvd,State College,16803,Pennsylvania,40.812897,-77.8865671,True
